iter	Passed	Remaining
933	89004	6289
934	89095	6193
935	89186	6098
936	89281	6002
937	89375	5907
938	89465	5811
939	89559	5716
940	89647	5620
941	89739	5525
942	89829	5429
943	89921	5334
944	90009	5238
945	90103	5143
946	90196	5047
947	90284	4952
948	90374	4856
949	90465	4761
950	90555	4665
951	90648	4570
952	90736	4474
953	90830	4379
954	90925	4284
955	91020	4189
956	91114	4093
957	91206	3998
958	91298	3903
959	91385	3807
960	91478	3712
961	91573	3617
962	91667	3522
963	91758	3426
964	91845	3331
965	91934	3235
966	92027	3140
967	92116	3045
968	92212	2950
969	92300	2854
970	92393	2759
971	92482	2664
972	92580	2569
973	92674	2473
974	92764	2378
975	92859	2283
976	92950	2188
977	93039	2092
978	93129	1997
979	93221	1902
980	93311	1807
981	93403	1712
982	93495	1616
983	93589	1521
984	93677	1426
985	93768	1331
986	93864	1236
987	93956	1141
988	94050	1046
989	94138	950
990	94236	855
991	94328	760
992	94421	665
993	94516	570
994	94609	475
995	94704	380
996	94796	285
997	94887	190
998	94978	95
999	95073	0
